concept,element,estadistico,breakdown,category,measure,wave,value
INCOME,LABOUR INCOME,MEDIAN,NET WEALTH PERCENTILE,Between 25 and 50,Thousands of euro (),2011,21.58032778391405
INCOME,LABOUR INCOME,MEDIAN,NET WEALTH PERCENTILE,Between 50 and 75,Thousands of euro (),2011,29.13278039963852
INCOME,LABOUR INCOME,MEDIAN,NET WEALTH PERCENTILE,Between 75 and 90,Thousands of euro (),2011,39.7265187267798
INCOME,LABOUR INCOME,MEDIAN,NET WEALTH PERCENTILE,Between 90 and 100,Thousands of euro (),2011,51.20306858118285
INCOME,LABOUR INCOME,MEDIAN,NET WEALTH PERCENTILE,Under 25,Thousands of euro (),2011,20.048649784114872
INCOME,CAPITAL INCOME,MEAN,NET WEALTH PERCENTILE,Between 25 and 50,Thousands of euro (),2011,1.7764207970924502
INCOME,CAPITAL INCOME,MEAN,NET WEALTH PERCENTILE,Between 50 and 75,Thousands of euro (),2011,2.61661529484531
INCOME,CAPITAL INCOME,MEAN,NET WEALTH PERCENTILE,Between 75 and 90,Thousands of euro (),2011,8.917951050291038
INCOME,CAPITAL INCOME,MEAN,NET WEALTH PERCENTILE,Between 90 and 100,Thousands of euro (),2011,27.566666613149845
INCOME,CAPITAL INCOME,MEAN,NET WEALTH PERCENTILE,Under 25,Thousands of euro (),2011,2.465716998912897
INCOME,CAPITAL INCOME,MEDIAN,NET WEALTH PERCENTILE,Between 25 and 50,Thousands of euro (),2011,0.3729878702680992
INCOME,CAPITAL INCOME,MEDIAN,NET WEALTH PERCENTILE,Between 50 and 75,Thousands of euro (),2011,0.5873148910533187
INCOME,CAPITAL INCOME,MEDIAN,NET WEALTH PERCENTILE,Between 75 and 90,Thousands of euro (),2011,1.1393173210161662
INCOME,CAPITAL INCOME,MEDIAN,NET WEALTH PERCENTILE,Between 90 and 100,Thousands of euro (),2011,5.882467476654283
INCOME,CAPITAL INCOME,MEDIAN,NET WEALTH PERCENTILE,Under 25,Thousands of euro (),2011,0.2459611005120996
INCOME,TOTAL INCOME,MEAN,NET WEALTH PERCENTILE,Between 25 and 50,Thousands of euro (),2008,31.14083277817024
INCOME,TOTAL INCOME,MEAN,NET WEALTH PERCENTILE,Between 50 and 75,Thousands of euro (),2008,39.7918680842289
INCOME,TOTAL INCOME,MEAN,NET WEALTH PERCENTILE,Between 75 and 90,Thousands of euro (),2008,54.56445303784376
INCOME,TOTAL INCOME,MEAN,NET WEALTH PERCENTILE,Between 90 and 100,Thousands of euro (),2008,94.0823197442942
